"nama","link_scholar","jabatan","halaman_profile"
"Dr. Ir. Edy Suryadi, M.T.","https://scholar.google.com/citations?hl=id&user=z3g-Xe4AAAAJ","Staff Riset Bioenergy","https://www.biomassbiorefinery.com/dr-ir-edy-suryadi-m-t/"
"Sri Suhartini, S.T.P., M.Env.Mgt., Ph.D.","https://scholar.google.com/citations?hl=id&user=Ha0GddQAAAAJ","Staff Riset Bioenergy","https://www.biomassbiorefinery.com/sri-suhartini-s-t-p-m-env-mgt-ph-d/"
"Dr. Muhammad Adly Rahandi Lubis","https://scholar.google.com/citations?user=GYNSepsAAAAJ","Ketua Riset Biomaterial","https://www.biomassbiorefinery.com/dr-muhammad-adly-rahandi/"
"Dr. Melbi Mahardika, S.T.","https://scholar.google.com/citations?user=VuKKqhIAAAAJ&hl=en","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/dr-melbi-mahardika/"
"Prof. Dr. Ir. Myrtha Karina, M.Agr.","https://scholar.google.com/citations?user=NHbJZ64AAAAJ","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/prof-dr-ir-myrtha-karina-m-agr/"
"Dr. Eng. Ir. Jenny Rizkiana, ST, MT, IPP","https://scholar.google.com/citations?user=fpF0-o4AAAAJ&hl=en","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/dr-eng-ir-jenny-rizkiana-st-mt-ipp/"
"Dr. Akbar Hanif Dawam Abdullah, M.T.","https://scholar.google.com/citations?hl=id&user=VG8EjioAAAAJ","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/dr-akbar-hanif-dawam-abdullah-m-t/"
"Dr. S. Rosalinda, S.T., M.T.","https://scholar.google.com/citations?user=Jnq-MMIAAAAJ","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/dr-s-rosalinda-s-t-m-t/"
"Dr. Yeyen Nurhamiyah, S.Si.","https://scholar.google.com/citations?hl=id&user=Zg4gyVgAAAAJ","Staff Riset Biomaterial","https://www.biomassbiorefinery.com/dr-yeyen-nurhamiyah-s-si/"
"Prof. Dr. Euis Hermiati","https://scholar.google.com/citations?hl=en&user=HAX1dmwAAAAJ","Staff Riset Pangan dan Kesehatan PKR BR","https://biomassbiorefinery.com/prof-dr-euis-hermiati/"
"Dr.rer.nat. Santi Rukminita Anggraeni, S.TP., M.Si","https://scholar.google.com/citations?hl=id&user=Xgs9-ZAAAAAJ","Staff Riset Biomaterial","https://biomassbiorefinery.com/dr-rer-nat-santi-rukminita-anggraeni-s-tp-m-si/"
"Dr. Martha Aznury, S.Pd., M.Si.","https://scholar.google.com/citations?user=EvCGsKkAAAAJ&hl=en","Staff Riset Bioenergy","https://biomassbiorefinery.com/dr-martha-aznury-s-pd-m-si/"
"Dr. Irfan Ardiansah, S.TP., M.T.","https://scholar.google.com/citations?user=4S8W8V0AAAAJ","Staff Riset Bioenergy",""
